id,title,publication_link,date,RCIH_authors,authors,all_authors
0,A phantom study of a protective trolley for neonatal radiographic imaging: new equipment to protect the operator from scatter radiation,https://pureportal.coventry.ac.uk/en/publications/a-phantom-study-of-a-protective-trolley-for-neonatal-radiographic,Feb 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Wang, X.', 'link': None}, {'name': 'Xu, M.', 'link': None}, {'name': 'Chen, C.', 'link': None}, {'name': 'Bao, Z.', 'link': None}, {'name': 'Wang, H.', 'link': None}, {'name': 'Zhang, J.', 'link': None}, {'name': 'Wang, Z.', 'link': None}]","Liu, H., Wang, X., Xu, M., Chen, C., Bao, Z., Wang, H., Zhang, J., Wang, Z."
1,A Serious Game for Patients With Eating Disorders (Maze Out): Pilot User Experience and Acceptance Study,https://pureportal.coventry.ac.uk/en/publications/a-serious-game-for-patients-with-eating-disorders-maze-out-pilot-,27 Jan 2023,"[{'name': 'Bul, K.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/kim-bul'}]","[{'name': 'Guala, M.', 'link': None}, {'name': 'Skårderud, F.', 'link': None}, {'name': 'Nielsen, A. S.', 'link': None}]","Bul, K., Guala, M., Skårderud, F., Nielsen, A. S."
2,Association of the COVID-19 pandemic on stroke admissions and treatment globally: a systematic review,https://pureportal.coventry.ac.uk/en/publications/association-of-the-covid-19-pandemic-on-stroke-admissions-and-tre,17 Mar 2023,"[{'name': 'Kurmi, O.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/om-kurmi'}]","[{'name': 'Van Dusen, R. A.', 'link': None}, {'name': 'Abernethy, K.', 'link': None}, {'name': 'Chaudhary, N.', 'link': None}, {'name': 'Paudyal, V.', 'link': None}]","Kurmi, O., Van Dusen, R. A., Abernethy, K., Chaudhary, N., Paudyal, V."
3,"Capability, Opportunity, and Motivation—Identifying Constructs for Increasing Physical Activity Behaviours in Women with Polycystic Ovary Syndrome (PCOS)",https://pureportal.coventry.ac.uk/en/publications/capability-opportunity-and-motivationidentifying-constructs-for-i,28 Jan 2023,"[{'name': 'McGregor, G.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor'}, {'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}, {'name': 'Kyrou, I.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou'}]","[{'name': 'Kite, C.', 'link': None}, {'name': 'Atkinson, L.', 'link': None}, {'name': 'Randeva, H. S.', 'link': None}]","McGregor, G., Clark, C. C. T., Kyrou, I., Kite, C., Atkinson, L., Randeva, H. S."
4,Cerebral Hemodynamics Underlying Artery-to-Artery Embolism in Symptomatic Intracranial Atherosclerotic Disease,https://pureportal.coventry.ac.uk/en/publications/cerebral-hemodynamics-underlying-artery-to-artery-embolism-in-sym,10 Mar 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Feng, X.', 'link': None}, {'name': 'Fang, H.', 'link': None}, {'name': 'Ip, B. Y. M.', 'link': None}, {'name': 'Chan, K. L.', 'link': None}, {'name': 'Li, S.', 'link': None}, {'name': 'Tian, X.', 'link': None}, {'name': 'Zheng, L.', 'link': None}, {'name': 'Liu, Y.', 'link': None}, {'name': 'Lan, L.', 'link': None}, {'name': 'Abrigo, J.', 'link': None}, {'name': 'Ma, S. H.', 'link': None}, {'name': 'Fan, F. S. Y.', 'link': None}, {'name': 'Ip, V. H. L.', 'link': None}, {'name': 'Soo, Y. O. Y.', 'link': None}, {'name': 'Mok, V. C. T.', 'link': None}, {'name': 'Song, B.', 'link': None}, {'name': 'Leung, T. W.', 'link': None}, {'name': 'Xu, Y.', 'link': None}, {'name': 'Leng, X.', 'link': None}]","Liu, H., Feng, X., Fang, H., Ip, B. Y. M., Chan, K. L., Li, S., Tian, X., Zheng, L., Liu, Y., Lan, L., Abrigo, J., Ma, S. H., Fan, F. S. Y., Ip, V. H. L., Soo, Y. O. Y., Mok, V. C. T., Song, B., Leung, T. W., Xu, Y., Leng, X."
5,Congenic hematopoietic stem cell transplantation promotes survival of heart allografts in murine models of acute and chronic rejection,https://pureportal.coventry.ac.uk/en/publications/congenic-hematopoietic-stem-cell-transplantation-promotes-surviva,2 Apr 2023,"[{'name': 'Sadozai, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/hassan-sadozai'}]","[{'name': 'Rojas-Luengas, V.', 'link': None}, {'name': 'Farrokhi, K.', 'link': None}, {'name': 'Moshkelgosha, S.', 'link': None}, {'name': 'Guo, Q.', 'link': None}, {'name': 'He, W.', 'link': None}, {'name': 'Li, A.', 'link': None}, {'name': 'Zhang, J.', 'link': None}, {'name': 'Chua, C.', 'link': None}, {'name': 'Ferri, D.', 'link': None}, {'name': 'Mian, M.', 'link': None}, {'name': 'Adeyi, O.', 'link': None}, {'name': 'Seidman, M.', 'link': None}, {'name': 'Gorczynski, R. M.', 'link': None}, {'name': 'Juvet, S.', 'link': None}, {'name': 'Atkins, H.', 'link': None}, {'name': 'Levy, G. A.', 'link': None}, {'name': 'Chruscinski, A.', 'link': None}]","Sadozai, H., Rojas-Luengas, V., Farrokhi, K., Moshkelgosha, S., Guo, Q., He, W., Li, A., Zhang, J., Chua, C., Ferri, D., Mian, M., Adeyi, O., Seidman, M., Gorczynski, R. M., Juvet, S., Atkins, H., Levy, G. A., Chruscinski, A."
6,"Contactless WiFi Sensing and Monitoring for Future Healthcare: Emerging Trends, Challenges and Opportunities",https://pureportal.coventry.ac.uk/en/publications/contactless-wifi-sensing-and-monitoring-for-future-healthcare-eme,2023,"[{'name': 'Shah, S. A.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah'}]","[{'name': 'Ge, Y.', 'link': None}, {'name': 'Taha, A.', 'link': None}, {'name': 'Dashtipour, K.', 'link': None}, {'name': 'Zhu, S.', 'link': None}, {'name': 'Cooper, J. M.', 'link': None}, {'name': 'Abbasi, Q.', 'link': None}, {'name': 'Imran, M.', 'link': None}]","Shah, S. A., Ge, Y., Taha, A., Dashtipour, K., Zhu, S., Cooper, J. M., Abbasi, Q., Imran, M."
7,Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila,1 Sept 2023,"[{'name': 'Allen, J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/john-allen'}]","[{'name': 'Iqbal, S.', 'link': None}, {'name': 'Agarwal, S.', 'link': None}, {'name': 'Purcell, I.', 'link': None}, {'name': 'Murray, A.', 'link': None}, {'name': 'Bacardit, J.', 'link': None}]","Allen, J., Iqbal, S., Agarwal, S., Purcell, I., Murray, A., Bacardit, J."
8,Dietary Intake and Body Composition During Ramadan in Athletes: A Systematic Review and Meta-Analysis With Meta-Regression,https://pureportal.coventry.ac.uk/en/publications/dietary-intake-and-body-composition-during-ramadan-in-athletes-a-,2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Trabelsi, K.', 'link': None}, {'name': 'Ammar, A.', 'link': None}, {'name': 'Boukhris, O.', 'link': None}, {'name': 'Glenn, J. M.', 'link': None}, {'name': 'Stannard, S. R.', 'link': None}, {'name': 'Slater, G.', 'link': None}, {'name': 'Żmijewski, P.', 'link': None}, {'name': 'Driss, T.', 'link': None}, {'name': 'Ben Saad, H.', 'link': None}, {'name': 'Chamari, K.', 'link': None}, {'name': 'Chtourou, H.', 'link': None}]","Clark, C. C. T., Trabelsi, K., Ammar, A., Boukhris, O., Glenn, J. M., Stannard, S. R., Slater, G., Żmijewski, P., Driss, T., Ben Saad, H., Chamari, K., Chtourou, H."
9,Does folic acid supplementation affect body weight or body mass index? A systematic review and meta-analysis of randomized controlled trial,https://pureportal.coventry.ac.uk/en/publications/does-folic-acid-supplementation-affect-body-weight-or-body-mass-i,Jul 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Haghighat, N.', 'link': None}, {'name': 'Nazarian, B.', 'link': None}, {'name': 'Aghakhani, L.', 'link': None}]","Clark, C. C. T., Haghighat, N., Nazarian, B., Aghakhani, L."
10,Dual-Stream Contrastive Learning for Channel State Information Based Human Activity Recognition,https://pureportal.coventry.ac.uk/en/publications/dual-stream-contrastive-learning-for-channel-state-information-ba,1 Jan 2023,"[{'name': 'Xu, K.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/ke-xu'}, {'name': 'Wang, J.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang'}, {'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Zhang, L.', 'link': None}, {'name': 'Zhu, H.', 'link': None}]","Xu, K., Wang, J., Zheng, D., Zhang, L., Zhu, H."
11,Early diagnosis of coronary microvascular dysfunction by myocardial contrast stress echocardiography,https://pureportal.coventry.ac.uk/en/publications/early-diagnosis-of-coronary-microvascular-dysfunction-by-myocardi,21 Feb 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}]","[{'name': 'Zhang, J.', 'link': None}, {'name': 'Ma, M.', 'link': None}, {'name': 'Li, H.', 'link': None}, {'name': 'Pu, Z.', 'link': None}, {'name': 'Huang, T.', 'link': None}, {'name': 'Cheng, H.', 'link': None}, {'name': 'Gong, Y.', 'link': None}, {'name': 'Chu, Y.', 'link': None}, {'name': 'Wang, Z.', 'link': None}, {'name': 'Jiang, J.', 'link': None}, {'name': 'Xia, L.', 'link': None}]","Liu, H., Zhang, J., Ma, M., Li, H., Pu, Z., Huang, T., Cheng, H., Gong, Y., Chu, Y., Wang, Z., Jiang, J., Xia, L."
12,Effect of Filtering on Pulse Wave Transit Time Measured by Photoplethysmography,https://pureportal.coventry.ac.uk/en/publications/effect-of-filtering-on-pulse-wave-transit-time-measured-by-photop,3 Apr 2023,"[{'name': 'Liu, H.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/haipeng-liu'}, {'name': 'Zheng, D.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2'}]","[{'name': 'Liao, S.', 'link': None}, {'name': 'Chen, F.', 'link': None}]","Liu, H., Zheng, D., Liao, S., Chen, F."
13,"Effect of magnesium supplementation in improving hyperandrogenism, hirsutism, and sleep quality in women with polycystic ovary syndrome:  A randomized, placebo‐controlled clinical trial",https://pureportal.coventry.ac.uk/en/publications/effect-of-magnesium-supplementation-in-improving-hyperandrogenism,Jan 2023,"[{'name': 'Clark, C. C. T.', 'link': 'https://pureportal.coventry.ac.uk/en/persons/cain-clark'}]","[{'name': 'Gholizadeh‐Moghaddam, M.', 'link': None}, {'name': 'Ghasemi‐Tehrani, H.', 'link': None}, {'name': 'Askari, G.', 'link': None}, {'name': 'Jaripur, M.', 'link': None}, {'name': 'Rouhani, M. H.', 'link': None}]","Clark, C. C. T., Gholizadeh‐Moghaddam, M., Ghasemi‐Tehrani, H., Askari, G., Jaripur, M., Rouhani, M. H."
